Transcript ID,heatmap_label,SAM6D,SAM17D,SAM38D,AM,Cotyledon,Leaf,Hypocotyl,tau
Glyma.10G053500.1,Glyma.10G053500|GmARF17_A.1,0.35393517185790774,0.5978752331082888,0.7125646573202213,1,0.25529306691161363,0.5902490375378504,0.8120718311081678,0.4463351670259917
Glyma.10G162400.1,Glyma.10G162400|GmIAA16-A.1,0.46464453877168554,0.6573138280268535,0.3595883783893837,0.5102299635651676,0.24152889726442997,0.20072891449066727,1,0.5943275799153022
Glyma.10G162400.2,Glyma.10G162400|GmIAA16-A.2,0.2046688538699905,0.1681691635735629,0.24049109322414,0.1950354979126742,0.056271964924714854,0.02871674724291575,1,0.8511077798753336
Glyma.10G162400.3,Glyma.10G162400|GmIAA16-A.3,0.8448248347275347,0.41500817499074916,0.5119051198113106,0.2755576001698719,1,0.3479427139910424,0.8428146964910599,0.46032447663640524
Glyma.10G180000.2,Glyma.10G180000|GmIAA1-4-A.2,0,0,0.20010379341785736,0.30008212728873146,0.26085007710398833,0.11886341800608001,1,0.8533500973638904
Glyma.10G180000.1,Glyma.10G180000|GmIAA1-4-A.1,0.11455592755073958,0.10973709867105576,0.20894764929465695,0.24487564349557225,0.044101876746544574,0.3111934403438459,1,0.8277647273162642
Glyma.10G180100.1,Glyma.10G180100|GmIAA7/14/17-A.1,0.007422866518657641,0.012636091586091455,0.014871345548297232,0.022671916671893652,0.08772492263691387,0.05952167990575418,1,0.9658585295220653
Glyma.10G210600.1,Glyma.10G210600|GmARF10/16_E.1,0.9504826317470232,0.9593694188999548,0.644500870484333,1,0.1058183636477751,0.19420297831230895,0.48709822911992023,0.4430879179647808
Glyma.11G145500.1,Glyma.11G145500|GmARF10/16_D.1,0.30624311773109303,0.33149957470838687,0.3360182343676345,0.5233155161162645,1,0.1331419151026563,0.2810378095575767,0.6814573054027314
Glyma.11G204200.1,Glyma.11G204200|GmARF8_A.1,0,0,0.9267709314578318,1,0,0.9652778755864734,0.2973562028109137,0.6350991650241302
Glyma.11G204200.2,Glyma.11G204200|GmARF8_A.2,0.7930708461059863,1,0,0.3292354492689409,0.25261474474605844,0,0.7853709546748199,0.639951334200699
