Gene ID,Transcript ID,Orthology,Family,AM,OF,IAM,IBM,RootTip,Cotyledon,Hypocotyl,SAM6D,SAM17D,SAM38D,Callus,Leaf,Root,Nodule,Class,Clade
Glyma.06G091700,Glyma.06G091700.3,GmIAA8-9-E.3,IAA,120.096829,73.349658,80.928913,112.799969,14.116324,123.198735,118.32899,229.139072,393.546142,181.391747,71.756006,45.78859,20.983248,22.794609,A,I
Glyma.06G095400,Glyma.06G095400.1,GmAFB4/5_A.1,AFB/TIR1,16.624289,16.028732,15.517072,13.117567,3.675868,9.842971,17.361197,17.568729,22.163578,11.157726,12.838756,8.101368,7.946719,7.208545,AFB4/5,IV
Glyma.06G164900,Glyma.06G164900.2,GmARF2_A.2,ARF,62.736767,31.362845,56.712867,104.850125,1.621706,14.695636,13.61886,48.102339,51.456817,31.907033,8.665198,27.39663,14.501406,9.673077,B,I
Glyma.06G164900,Glyma.06G164900.3,GmARF2_A.3,ARF,78.161251,91.333242,102.461124,95.846621,1.569549,29.653419,18.983798,38.298793,237.526834,76.153152,6.048278,3.67476,1.606524,0,B,I
Glyma.07G015200,Glyma.07G015200.1,GmIAA18/26/28-A.1,IAA,5.794669,13.891205,8.566558,11.379673,1.35115,0,1.457968,2.174033,5.364406,5.111495,0.351099,1.073099,0.70718,0.255251,A,I
Glyma.07G018100,Glyma.07G018100.1,GmIAA27-G.1,IAA,0.192267,0.082619,0.914665,0.880482,0.033835,0,0.669649,0.449753,0.522868,0.338083,0.377607,0.167713,0.28054,0.431721,A,I
Glyma.07G034200,Glyma.07G034200.1,GmIAA6/19-C.1,IAA,7.74491,24.557366,23.786801,12.198858,5.13073,2.026657,156.625749,1.345713,0.847947,2.002922,0,3.493091,6.730978,0,B,II
Glyma.07G054800,Glyma.07G054800.1,GmARF11/18_B.1,ARF,16.708991,2.986484,6.034517,21.181261,7.465424,7.623516,12.85155,28.777046,25.395101,15.547285,0.950639,15.305503,4.599124,1.742318,B,I
Glyma.07G054800,Glyma.07G054800.2,GmARF11/18_B.2,ARF,5.843258,8.903698,0,10.375662,0,0,13.29852,4.33353,10.794896,0,0,0,1.404485,0,B,I
Glyma.07G054800,Glyma.07G054800.3,GmARF11/18_B.3,ARF,0.040234,3.442882,0,0.673144,0.122256,0,6.286219,1.746042,0.171767,0,0,3.085778,0.532261,0,B,I
Glyma.07G054800,Glyma.07G054800.4,GmARF11/18_B.4,ARF,25.597646,21.589312,16.512749,16.960512,1.972203,0.026187,23.794879,59.556245,27.761288,23.940417,0,3.00183,0,0,B,I
Glyma.07G130400,Glyma.07G130400.1,GmARF7/19_E.1,ARF,18.550414,8.914698,15.95095,18.729053,15.689098,23.181993,16.71,16.764956,21.488396,10.756881,24.155359,2.997797,25.928328,7.688516,A,II
Glyma.07G130400,Glyma.07G130400.2,GmARF7/19_E.2,ARF,0.512587,0.454696,0.124804,0.317893,2.662431,4.794673,3.618788,1.208604,0.594838,0.596527,0.219192,0.835716,1.282577,0.792176,A,II
Glyma.07G130400,Glyma.07G130400.3,GmARF7/19_E.3,ARF,2.236563,3.831503,0,1.292868,0.067548,3.559956,2.556377,0,0,0,10.709223,0,0.333267,0.182508,A,II
Glyma.07G134800,Glyma.07G134800.1,GmARF9_C.1,ARF,22.945872,12.408956,9.655552,21.760539,3.140849,10.165337,6.359183,21.99834,35.787787,14.96938,1.246423,7.28538,18.606157,2.377057,B,I
Glyma.07G189800,Glyma.07G189800.3,GmAFB6_A.3,AFB/TIR1,0,0,4.600346,0,0,0,0,0,0,0,0,7.63648,7.12717,0,AFB6,III
