Orthology,AM,OF,IAM,IBM,RootTip,Cotyledon,Hypocotyl,SAM6D,SAM17D,SAM38D,Callus,Leaf,Root,Nodule,tau
GmARF17_C.2,0.74,1.00,0.61,0.68,0.11,0.45,0.53,0.32,0.57,0.53,0.29,0.21,0.28,0.21,0.57
GmTIR1/AFB1_A.1,1.00,0.47,0.77,0.91,0.22,0.26,0.45,0.70,0.83,0.64,0.46,0.86,0.20,0.11,0.47
GmIAA16-D.1,0.39,1.00,0.45,0.37,0.06,0.29,0.99,0.17,0.20,0.32,0.59,0.09,0.06,0.01,0.69
GmARF10/16_F.1,0.76,0.30,0.32,0.59,0.65,0.20,0.38,1.00,0.78,0.61,0.02,0.27,0.33,0.11,0.59
GmIAA7/14/17-B.1,0.01,0.42,0.02,0.02,0.21,0.07,1.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.93
GmIAA1-4-B.1,0.24,0.23,0.18,0.28,0.59,0.09,1.00,0.04,0.16,0.26,0.00,0.07,0.28,0.01,0.81
GmIAA16-B.1,0.32,1.00,0.44,0.39,0.20,0.21,0.39,0.36,0.56,0.33,0.04,0.08,0.40,0.21,0.70
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
